case	chunk_samples	frames	mel_first_bad	mel_min_cos	mel_rmse	mel_max_abs	preenc_first_bad	preenc_min_cos	preenc_rmse	preenc_max_abs	embd_min_cos	embd_max_rmse	embd_max_abs	downstream
VC01-short	1280	38	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999862075	0.000716533	0.00263504	exact token/function
VC01-short	257	38	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999862075	0.000716533	0.00263504	exact token/function
VC01-short	4096	38	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999862075	0.000716533	0.00263504	exact token/function
VC02-conversation	257	54	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999813020	0.000977375	0.00376237	semantic; token rows diverge
VC03-long	257	281	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999477744	0.0014307	0.00563987	semantic; token rows diverge
VC04-noisy	257	38	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999795437	0.000791417	0.00282296	exact token/function
VC05-pause	1280	101	-1	1.000000000	0	0	-1	1.000000000	0.0317651	0.101608	0.999654591	0.00101189	0.00375581	exact token/function
VC05-pause	333	101	-1	1.000000000	0	0	-1	1.000000000	0.0317651	0.101608	0.999654591	0.00101189	0.00375581	exact token/function
VC06-tool	257	41	-1	1.000000000	0	0	-1	1.000000000	0	0	0.999792874	0.000756485	0.00287788	exact token/function
long-silence	257	39	-1	1.000000000	0	0	-1	1.000000000	0.0000163373	0.0000610352	0.999878645	0.000363645	0.0013952	no crash; frontend parity
abrupt-onset	333	51	-1	1.000000000	0	0	-1	1.000000000	0.0151721	0.0583344	0.999847949	0.000657674	0.00246719	exact final text
