frame,codec_us,istft_us,total_us,n_samples
2,192803,241,193048,3522
4,30022,256,30285,3528
6,42780,274,43063,3528
8,54936,273,55221,3528
10,118454,277,118746,3528
12,117645,273,117933,3528
14,117973,270,118279,3528
16,117598,270,117892,3528
18,117609,267,117893,3528
20,117522,269,117821,3528
22,117679,278,117974,3528
24,117827,275,118119,3528
26,117729,270,118038,3528
28,117557,275,117863,3528
30,117534,273,117823,3528
32,117427,268,117712,3528
34,117484,265,117765,3528
36,117547,272,117836,3528
38,117700,268,117983,3528
40,117539,266,117837,3528
42,117467,272,117756,3528
44,117570,279,117864,3528
46,117713,273,118004,3528
48,117636,274,117925,3528
50,117416,268,117701,3528
52,117727,270,118028,3528
54,117663,273,117951,3528
56,117966,273,118254,3528
58,117919,265,118204,3528
60,117863,274,118155,3528
62,118107,270,118395,3528
64,117827,268,118127,3528
66,118009,272,118318,3528
68,130069,270,130356,3528
70,117926,268,118209,3528
72,117934,267,118218,3528
74,117499,271,117785,3528
76,117504,272,117814,3528
78,117700,271,117995,3528
80,117642,266,117925,3528
82,117677,255,117952,3528
84,117943,232,118195,3528
86,117815,222,118052,3528
88,117587,223,117824,3528
90,118019,222,118259,3528
92,118171,226,118408,3528
94,117661,230,117903,3528
