start,len,begin_us,build_us,alloc_us,upload_us,gpu_us,readback_us,end_us,n_splits,n_nodes
0,8,2,25,856,5,233369,56,0,2,593
0,8,1,24,92,6,54273,59,0,2,593
8,8,2,22,231,7,96488,70,0,2,593
0,8,3,23,97,6,54403,46,1,2,593
8,8,2,23,91,7,96304,70,0,2,593
0,8,1,22,88,5,54187,59,0,2,593
8,8,2,22,94,6,96477,68,0,2,593
0,8,1,22,89,5,54083,51,1,2,593
8,8,3,23,95,7,96193,62,0,2,593
0,8,2,23,93,6,54305,58,0,2,593
8,8,2,23,95,6,96342,101,0,2,593
0,8,2,21,90,6,54419,34,0,2,593
8,8,1,19,82,7,96371,63,0,2,593
0,8,1,22,91,5,54265,44,0,2,593
8,8,2,23,89,6,96364,62,0,2,593
0,8,2,21,89,6,54493,49,0,2,593
8,8,2,23,99,7,96443,66,1,2,593
16,8,3,22,57,8,91614,62,0,2,593
24,8,3,22,55,6,93689,69,0,2,593
32,8,2,20,50,6,94203,53,0,2,593
40,8,1,19,51,6,94106,63,0,2,593
48,8,2,21,53,6,94220,76,0,2,593
56,8,3,21,58,6,94157,64,0,2,593
64,6,2,22,54,5,83418,111,1,2,593
0,8,5,25,73,6,53957,45,0,2,593
8,1,4,27,71,8,55999,40,0,2,593
0,8,2,23,53,5,48697,60,0,2,593
8,1,3,24,53,6,53882,35,0,2,593
0,8,1,23,50,5,48324,34,0,2,593
8,1,2,23,52,5,54766,44,0,2,593
0,8,3,22,54,6,49074,38,1,2,593
8,1,2,34,53,6,54661,36,0,2,593
0,8,2,23,53,5,49091,32,0,2,593
8,1,1,22,50,4,54651,46,0,2,593
0,8,2,24,52,3,49065,68,1,2,593
8,1,7,28,75,6,54914,50,1,2,593
